epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.0230284750408596,1.743453215408325,0.30962222222222224,0.4078,0.1
2,1.6224270924250286,1.515408304977417,0.47686666666666666,0.5204,0.09999383162408304
3,1.4465971662521362,1.374942179107666,0.5709111111111111,0.5998,0.09997532801828658
4,1.2976964442782932,1.4872733497619628,0.6420222222222223,0.5594,0.09994449374809851
5,1.2066541721343995,1.3455225032806397,0.6863777777777778,0.6262,0.09990133642141359
6,1.1118273174497817,1.1696567302703857,0.7293555555555555,0.7072,0.09984586668665642
7,1.0342005211724175,1.0385321407318115,0.767,0.7654,0.09977809823015402
8,0.9780553542031182,1.155075382232666,0.7909333333333334,0.725,0.09969804777275901
9,0.941048019250234,0.9872541376113891,0.8085555555555556,0.7878,0.09960573506572391
10,0.9235289496527778,0.9530792135238647,0.8152888888888888,0.8074,0.09950118288582789
11,0.9000741637759738,1.0191118803024293,0.8254444444444444,0.7756,0.09938441702975691
12,0.881640764289432,1.0503775775909423,0.8347333333333333,0.7586,0.09925546630773871
13,0.8630248915142483,1.049188780593872,0.8435555555555555,0.7678,0.09911436253643445
14,0.8582811699549358,0.962067903137207,0.8452222222222222,0.8008,0.0989611405310883
15,0.8481030018912421,0.926125505065918,0.8513111111111111,0.8186,0.09879583809693739
16,0.8366734326468573,0.9224230770111084,0.8550222222222222,0.8212,0.09861849601988384
17,0.8269292599995931,0.8958080459594726,0.8573777777777778,0.8274,0.09842915805643157
18,0.8219294555452135,0.9091903685569763,0.8613555555555555,0.8272,0.09822787092288993
19,0.8187763205528259,0.8773036981582641,0.8638222222222223,0.84,0.09801468428384717
20,0.8057037887573242,0.9087837917327881,0.8676222222222222,0.8234,0.09778965073991652
21,0.8048226912180583,0.8648401414871216,0.8692444444444445,0.8398,0.0975528258147577
22,0.7951604427761502,0.8700213022232056,0.8733333333333333,0.8418,0.09730426794137728
23,0.7949662733501858,0.928715424823761,0.8737555555555555,0.818,0.09704403844771128
24,0.7903873403761122,0.9687376878738403,0.8765555555555555,0.7984,0.09677220154149338
25,0.7849800245814853,0.9174767863273621,0.8776,0.8284,0.09648882429441258
26,0.7835126433690389,0.8663982620239258,0.8780444444444444,0.8374,0.09619397662556435
27,0.7812366957558526,0.9967169531822204,0.8797555555555555,0.796,0.09588773128419906
28,0.7800819608476427,0.8705746738433838,0.8797777777777778,0.8442,0.09557016383177226
29,0.7738259035534328,0.8436533344268798,0.8829555555555556,0.8512,0.09524135262330098
30,0.769028512011634,0.9193484313964844,0.884,0.8252,0.09490137878803079
31,0.7651616875436571,0.7937426131248474,0.8872444444444444,0.8766,0.0945503262094184
32,0.767199809604221,0.8193167989730835,0.8858222222222222,0.864,0.0941882815044347
33,0.7616530031628079,0.8975369456291199,0.8879111111111111,0.8296,0.09381533400219319
34,0.7596550447252062,0.9070652084350586,0.8902444444444444,0.8246,0.09343157572190958
35,0.7549743231243558,0.8659702291488648,0.8910888888888889,0.846,0.0930371013501972
36,0.7537158512857225,0.8793271781921387,0.8918222222222222,0.8376,0.09263200821770463
37,0.7520782899008857,0.9101827610969544,0.8916444444444445,0.8268,0.09221639627510078
38,0.7486804171668159,0.8442229537963867,0.8944444444444445,0.8484,0.09179036806841355
39,0.7482791219287448,0.8409617572784424,0.8942444444444444,0.8558,0.09135402871372812
40,0.7454668259514703,0.8096386632919311,0.8949555555555555,0.8662,0.0909074858712512
41,0.7458702587339613,0.8365900497436524,0.8949333333333334,0.8578,0.09045084971874741
42,0.7463284486346775,0.8642622554779053,0.8948222222222222,0.8396,0.08998423292435458
43,0.7403888210932413,0.8667965304374695,0.8970444444444444,0.8444,0.08950775061878456
44,0.7417832411766052,0.8079082382202148,0.8968222222222222,0.87,0.08902152036691652
45,0.7369380770365397,0.875234254360199,0.8976,0.8438,0.0885256621387895
46,0.7409441456582812,0.815677502822876,0.8974666666666666,0.867,0.08802029828000159
47,0.7325356468412612,0.9330518581390381,0.9015333333333333,0.8182,0.08750555348152302
48,0.7344286282221476,0.8295986696243286,0.9002222222222223,0.8612,0.0869815547489305
49,0.7358034852875603,0.8575076354980469,0.9000888888888889,0.8528,0.0864484313710706
50,0.728999479230245,0.8485507858276368,0.9028666666666667,0.8506,0.08590631488815947
51,0.7251129140218099,0.8224035202026367,0.9044888888888889,0.8596,0.08535533905932739
52,0.725810152138604,0.8465084153175354,0.9045777777777778,0.8536,0.08479563982961573
53,0.7265735357708402,0.8195413669586181,0.9034444444444445,0.8618,0.08422735529643445
54,0.7218514358096653,0.8398914916992187,0.9054222222222222,0.851,0.08365062567548867
55,0.7235084611680772,0.8606254776000977,0.9045333333333333,0.8444,0.0830655932661826
56,0.7172371967421638,0.8880698840141297,0.9091111111111111,0.8318,0.08247240241650919
57,0.7163286938879225,0.844282334804535,0.9082444444444444,0.8514,0.08187119948743449
58,0.7187587627516853,0.8752814990997314,0.9077111111111111,0.8438,0.08126213281678525
59,0.71568702100118,0.8714808837890625,0.9077333333333333,0.8392,0.08064535268264883
60,0.7115420478608873,0.8432049011230469,0.9104888888888889,0.8582,0.0800210112662942
61,0.7116408980263604,0.7984989192962646,0.9108222222222222,0.873,0.07938926261462366
62,0.7114179703076681,0.8063116552352906,0.9081111111111111,0.871,0.07875026260216393
63,0.709927727678087,0.8300908103942871,0.9120444444444444,0.8652,0.07810416889260655
64,0.7091007388856676,0.8368317247390747,0.9105111111111112,0.8552,0.0774511408999066
65,0.7039064108742608,0.8008868146896362,0.9121777777777778,0.8684,0.07679133974894983
66,0.7059221094767253,0.786841339302063,0.9135555555555556,0.878,0.07612492823579745
67,0.7035182524998983,0.8005165161132812,0.9141111111111111,0.8704,0.07545207078751857
68,0.6956276199552748,0.8461769236564636,0.9176,0.8528,0.07477293342162039
69,0.6979500428093804,0.8138758374214172,0.9172888888888889,0.8608,0.07408768370508577
70,0.6988882349650065,0.7870616091728211,0.9151777777777778,0.8754,0.07339649071302869
71,0.6965742158677843,0.753219374370575,0.9176888888888889,0.8936,0.07269952498697735
72,0.6923591265148586,0.8113005609512329,0.9182888888888889,0.8652,0.07199695849279576
73,0.6971434744940864,0.8104025893211365,0.9164888888888889,0.87,0.07128896457825365
74,0.6882142219119601,0.8573824337005616,0.9193777777777777,0.8448,0.07057571793025547
75,0.6879932731628418,0.8574895353317261,0.9198222222222222,0.8498,0.06985739453173904
76,0.6901665051778157,0.825579861831665,0.9190444444444444,0.8628,0.06913417161825451
77,0.6857880583127339,0.8025058876991272,0.9221777777777778,0.8718,0.06840622763423393
78,0.6780613499217564,0.7554690046310425,0.9248444444444445,0.8902,0.06767374218896288
79,0.6811944595972697,0.8354657838821411,0.9225555555555556,0.857,0.0669368960122646
80,0.6813973466555278,0.7790617950439453,0.9221333333333334,0.885,0.0661958709099075
81,0.6788171867264642,0.7921599044799804,0.9249555555555555,0.8786,0.0654508497187474
82,0.6747890280829536,0.749598897266388,0.9252222222222222,0.8936,0.06470201626161523
83,0.6760721323755052,0.7908750377655029,0.9248222222222222,0.8764,0.0639495553019615
84,0.6715885760731167,0.7827241893768311,0.9288888888888889,0.879,0.06319365249826867
85,0.6705442083570692,0.8712138259887695,0.9282444444444444,0.8414,0.062434494358242755
86,0.6698346121046278,0.8016334241867066,0.9272444444444444,0.8756,0.0616722681927953
87,0.6666380921681722,0.7940653223991394,0.9296444444444445,0.8742,0.060907162069827166
88,0.6711220467355516,0.7874876983642578,0.9273333333333333,0.8864,0.060139364767825665
89,0.6586319222874112,0.7468603561401367,0.9328444444444445,0.895,0.059369065729286276
90,0.6611866449250116,0.7652739122390747,0.9314444444444444,0.895,0.058596455013970504
91,0.656284241188897,0.8154971128463745,0.9332444444444444,0.8628,0.05782172325201158
