experiment_name,arch,batch_size,lr,dropout,augment,optimizer,scheduler,normalize,label_smoothing,weight_decay,num_params,best_epoch,epochs_trained,early_stopped,best_val_loss,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,timestamp
baseline_bs128_lr0.001_drop0.5_aug0,baseline,128,0.001,0.5,0,adam,none,0,0.0,0.0,620586,16,31,True,0.661,0.785,0.7871,0.7811,0.7824,2026-06-07 15:57:28
baseline_bs128_lr0.001_drop0.5_aug0,baseline,128,0.001,0.5,0,adam,none,0,0.1,0.0005,620586,23,38,True,1.0074,0.7932,0.7935,0.7869,0.7867,2026-06-07 17:01:14
baseline_bs128_lr0.1_drop0.5_aug0,baseline,128,0.1,0.5,0,sgd,none,0,0.1,0.0005,620586,11,26,True,1.0853,0.7628,0.7643,0.766,0.7663,2026-06-07 17:02:43
baseline_bs128_lr0.001_drop0.5_aug0,baseline,128,0.001,0.5,0,adam,cosine,0,0.1,0.0005,620586,21,50,True,1.0013,0.8038,0.8029,0.7913,0.79,2026-06-07 17:11:39
baseline_bs128_lr0.1_drop0.5_aug0,baseline,128,0.1,0.5,0,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.9831,0.807,0.807,0.8018,0.8014,2026-06-07 17:14:31
baseline_bs64_lr0.01_drop0.25_aug0,baseline,64,0.01,0.25,0,sgd,cosine,0,0.1,0.0005,620586,39,50,False,1.0095,0.7996,0.799,,,2026-06-07 17:57:15
baseline_bs64_lr0.01_drop0.25_aug1,baseline,64,0.01,0.25,1,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.8355,0.8706,0.8707,,,2026-06-07 18:06:59
baseline_bs64_lr0.01_drop0.5_aug0,baseline,64,0.01,0.5,0,sgd,cosine,0,0.1,0.0005,620586,19,50,True,1.0084,0.791,0.7924,,,2026-06-07 18:12:07
baseline_bs64_lr0.01_drop0.5_aug1,baseline,64,0.01,0.5,1,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.8582,0.8638,0.8638,,,2026-06-07 18:21:16
baseline_bs128_lr0.01_drop0.25_aug0,baseline,128,0.01,0.25,0,sgd,cosine,0,0.1,0.0005,620586,34,50,True,1.0217,0.7948,0.7929,,,2026-06-07 18:24:08
baseline_bs128_lr0.01_drop0.25_aug1,baseline,128,0.01,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8553,0.8626,0.8627,,,2026-06-07 18:31:15
baseline_bs128_lr0.01_drop0.5_aug0,baseline,128,0.01,0.5,0,sgd,cosine,0,0.1,0.0005,620586,24,50,True,1.0073,0.7974,0.7959,,,2026-06-07 18:34:06
baseline_bs128_lr0.01_drop0.5_aug1,baseline,128,0.01,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8785,0.8504,0.8503,,,2026-06-07 18:40:44
baseline_bs256_lr0.01_drop0.25_aug0,baseline,256,0.01,0.25,0,sgd,cosine,0,0.1,0.0005,620586,28,50,True,1.048,0.7854,0.7839,,,2026-06-07 18:42:51
baseline_bs256_lr0.01_drop0.25_aug1,baseline,256,0.01,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8922,0.8482,0.8481,,,2026-06-07 18:48:24
baseline_bs256_lr0.01_drop0.5_aug0,baseline,256,0.01,0.5,0,sgd,cosine,0,0.1,0.0005,620586,32,50,True,1.023,0.7926,0.792,,,2026-06-07 18:50:17
baseline_bs256_lr0.01_drop0.5_aug1,baseline,256,0.01,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.9091,0.8426,0.8427,,,2026-06-07 18:55:51
baseline_bs64_lr0.05_drop0.25_aug0,baseline,64,0.05,0.25,0,sgd,cosine,0,0.1,0.0005,620586,48,50,False,1.0037,0.8046,0.8045,,,2026-06-07 19:00:44
baseline_bs64_lr0.05_drop0.25_aug1,baseline,64,0.05,0.25,1,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.828,0.8716,0.8716,,,2026-06-07 19:09:58
baseline_bs64_lr0.05_drop0.5_aug0,baseline,64,0.05,0.5,0,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.9917,0.8126,0.8127,,,2026-06-07 19:14:56
baseline_bs64_lr0.05_drop0.5_aug1,baseline,64,0.05,0.5,1,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.84,0.8692,0.8689,,,2026-06-07 19:24:10
baseline_bs128_lr0.05_drop0.25_aug0,baseline,128,0.05,0.25,0,sgd,cosine,0,0.1,0.0005,620586,43,50,False,1.0191,0.7958,0.7955,,,2026-06-07 19:26:54
baseline_bs128_lr0.05_drop0.25_aug1,baseline,128,0.05,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8343,0.8668,0.867,,,2026-06-07 19:33:29
baseline_bs128_lr0.05_drop0.5_aug0,baseline,128,0.05,0.5,0,sgd,cosine,0,0.1,0.0005,620586,46,50,False,1.003,0.8012,0.8013,,,2026-06-07 19:36:12
baseline_bs128_lr0.05_drop0.5_aug1,baseline,128,0.05,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8382,0.8696,0.8693,,,2026-06-07 19:42:46
baseline_bs256_lr0.05_drop0.25_aug0,baseline,256,0.05,0.25,0,sgd,cosine,0,0.1,0.0005,620586,39,50,True,1.0191,0.794,0.7928,,,2026-06-07 19:44:36
baseline_bs256_lr0.05_drop0.25_aug1,baseline,256,0.05,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8479,0.867,0.8668,,,2026-06-07 19:50:06
baseline_bs256_lr0.05_drop0.5_aug0,baseline,256,0.05,0.5,0,sgd,cosine,0,0.1,0.0005,620586,46,50,False,1.0058,0.7988,0.7986,,,2026-06-07 19:51:57
baseline_bs256_lr0.05_drop0.5_aug1,baseline,256,0.05,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8561,0.8634,0.8629,,,2026-06-07 19:57:29
baseline_bs64_lr0.1_drop0.25_aug0,baseline,64,0.1,0.25,0,sgd,cosine,0,0.1,0.0005,620586,46,50,False,0.9824,0.813,0.8133,,,2026-06-07 20:02:17
baseline_bs64_lr0.1_drop0.25_aug1,baseline,64,0.1,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8551,0.8606,0.8603,,,2026-06-07 20:11:21
baseline_bs64_lr0.1_drop0.5_aug0,baseline,64,0.1,0.5,0,sgd,cosine,0,0.1,0.0005,620586,49,50,False,0.9951,0.809,0.8094,,,2026-06-07 20:16:16
baseline_bs64_lr0.1_drop0.5_aug1,baseline,64,0.1,0.5,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.925,0.8304,0.8303,,,2026-06-07 20:25:27
baseline_bs128_lr0.1_drop0.25_aug0,baseline,128,0.1,0.25,0,sgd,cosine,0,0.1,0.0005,620586,49,50,True,1.0142,0.798,0.7977,,,2026-06-07 20:28:19
baseline_bs128_lr0.1_drop0.25_aug1,baseline,128,0.1,0.25,1,sgd,cosine,0,0.1,0.0005,620586,50,50,False,0.8339,0.8716,0.8715,,,2026-06-07 20:35:06
